loc_rowid,tce_plnt_num,tce_period,tce_period_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_duration,tce_duration_err,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
14002,1,1.97271,1.99E-05,2.95E-03,3.68E-04,2.4028375,1.25E+00,74.99,2.34E+01,4.932,5.53E-01,0.5366,6.71E-02,2.14E+03,8.23E+02,7103,336,4.19,0.43,1.669,1.274
14003,3,0.541307,0.00E+00,1.25E-02,0.00E+00,2.7776016,0.00E+00,87.94,0.00E+00,1.5,0.00E+00,2.546,0.00E+00,3.60E+03,0.00E+00,7281,305,4.07,0.31,1.87,1.025
14004,1,3.94962,4.75E-06,2.60E-02,9.74E-03,16.8614,2.18E+01,88.31,8.99E+00,1.606,1.10E-01,2.372,8.88E-01,9.66E+02,1.28E+02,5155,183,4.52,0.17,0.836,0.214
14005,1,22.1843,2.40E-05,4.01E-02,4.94E-03,41.737795,1.85E+01,89.05,8.90E-01,3.147,1.89E-01,3.576,4.41E-01,5.47E+02,7.83E+01,5157,170,4.5,0.34,0.818,0.228
14006,1,5.37492,1.14E-05,1.27E-02,2.10E-03,6.1106554,5.12E+00,82.31,9.82E+00,4.012,1.51E-01,2.342,3.88E-01,1.41E+03,1.78E+02,6167,126,4.04,0.16,1.689,0.419
14007,2,2.21457,2.86E-05,5.08E-03,2.88E-03,2.0439998,4.77E+00,78.05,2.00E+02,7.546,5.41E+00,1.184,6.71E-01,2.51E+03,5.35E+02,7766,310,4.01,0.26,2.137,0.894
14008,1,44.6997,1.10E-04,2.90E-02,2.24E-03,37.200703,1.10E+01,88.83,6.07E-01,6.381,2.37E-01,3.315,2.56E-01,5.00E+02,4.11E+01,5497,104,4.39,0.13,1.046,0.167
14009,2,3.61929,6.57E-06,1.27E-02,5.84E-03,9.2196347,1.59E+01,89.35,1.05E+02,3.021,5.54E-02,1.446,6.66E-01,1.16E+03,9.49E+01,5497,104,4.39,0.13,1.046,0.167
14010,1,5.83379,1.60E-05,2.24E-02,1.11E-02,8.4035197,1.95E+01,85.07,2.23E+01,3.835,6.36E-01,2.911,1.44E+00,1.14E+03,3.55E+02,6198,262,4.39,0.35,1.19,0.735
14011,2,2.42148,1.31E-05,1.20E-02,1.30E-02,6.7712802,3.38E+01,88.15,1.99E+02,2.7,1.25E-01,1.559,1.69E+00,1.53E+03,4.76E+02,6198,262,4.39,0.35,1.19,0.735
14012,1,0.649466,5.99E-06,9.32E-03,5.16E-03,1.2458332,1.49E+00,43.75,1.20E+02,1.819,3.48E+00,2.515,1.39E+00,4.12E+03,7.68E+02,7994,308,3.93,0.23,2.473,0.902
14013,1,3.35947,3.43E-07,7.68E-02,5.02E-03,5.3885026,9.37E-02,79.48,2.74E-01,2.087,7.83E-03,14.98,9.80E-01,1.83E+03,3.41E+02,6585,214,3.97,0.33,1.788,0.657
14014,2,3.35947,5.07E-07,7.29E-02,8.94E-03,4.258433,1.11E-01,76.42,5.46E-01,2.347,5.94E-03,14.23,1.75E+00,1.83E+03,3.41E+02,6585,214,3.97,0.33,1.788,0.657
14015,1,9.45319,8.71E-05,1.32E-02,1.68E-02,22.535628,1.40E+02,89.1,4.50E+01,3.044,5.13E-01,1.233,1.57E+00,8.31E+02,1.62E+02,5970,172,4.55,0.28,0.854,0.33
14016,1,18.6101,2.05E-06,3.10E-01,1.26E-02,26.427816,7.66E-02,87.98,4.70E-02,4.96,7.35E-03,30.18,1.23E+00,6.86E+02,1.23E+02,6077,184,4.53,0.27,0.891,0.316
14017,1,0.52403,1.18E-05,2.12E-02,1.22E-02,2.7783902,8.15E+00,71.1,7.34E+01,0.6954,1.43E-01,8.087,4.66E+00,5.07E+03,8.70E+02,7816,303,3.66,0.26,3.49,1.167
14018,2,0.524049,4.55E-05,7.46E-03,3.71E-02,2.675581,6.47E+01,87.86,6.04E+03,1.5,5.40E+00,2.84,1.41E+01,5.07E+03,8.70E+02,7816,303,3.66,0.26,3.49,1.167
14019,1,20.6864,2.94E-05,3.87E-01,1.41E-01,11.786851,1.20E-01,85.13,1.42E+01,12.88,4.31E+01,217.2,7.89E+01,1.21E+03,4.10E+02,4809,121,3.11,0.39,5.145,3.475
14020,2,20.6865,0.00E+00,6.82E-02,0.00E+00,22.410189,0.00E+00,89.74,0.00E+00,7.5,0.00E+00,38.31,0.00E+00,1.21E+03,0.00E+00,4809,121,3.11,0.39,5.145,3.475
14021,1,15.927,8.70E-07,1.01E+00,3.59E-03,18.114077,2.24E-02,86.84,2.41E-02,11.7,2.06E-02,71.54,2.55E-01,5.66E+02,4.92E+01,5191,157,4.62,0.11,0.65,0.106
14022,1,3.24673,3.54E-07,8.19E-02,3.86E-04,6.7815451,1.23E-01,84.41,2.39E-01,3.133,1.35E-02,13.02,6.14E-02,1.46E+03,6.68E+01,5763,115,4.15,0.05,1.457,0.12
14023,1,0.722779,8.48E-06,7.93E-03,1.69E-03,3.9095922,4.26E+00,82.12,3.17E+01,1.206,7.68E-02,1.93,4.12E-01,3.87E+03,8.20E+02,8163,307,4,0.26,2.229,0.929
14024,2,0.722789,8.30E-06,8.27E-03,1.50E-03,3.4786255,3.13E+00,78.39,2.27E+01,1.152,7.81E-02,2.012,3.64E-01,3.87E+03,8.20E+02,8163,307,4,0.26,2.229,0.929
14025,1,0.525238,1.07E-05,1.32E-02,1.23E-02,1.2723733,2.61E+00,44.92,1.91E+02,1.462,3.92E+00,1.662,1.55E+00,2.67E+03,7.01E+02,6528,212,4.38,0.3,1.155,0.602
14026,2,4.22075,7.17E-05,2.95E-02,3.82E-05,1.0605451,1.23E-03,20.65,2.88E-01,8.331,1.45E-01,9.558,1.24E-02,2.26E+03,5.88E+02,7187,280,3.66,0.49,2.966,1.524
14027,3,4.22081,4.19E-05,1.49E-02,3.05E-03,1.9554758,1.70E+00,75.26,6.73E+01,14.59,3.83E+00,4.817,9.86E-01,2.26E+03,5.88E+02,7187,280,3.66,0.49,2.966,1.524
14028,1,362.438,6.56E-03,6.91E-03,4.03E-03,223.59929,3.82E+02,89.92,1.38E+00,11.82,3.42E-01,45.58,2.66E+01,1.25E+03,2.15E+02,3757,81,0.97,0.27,60.44,20.62
